area_id,tax_band,tax_amount
1,A,1610.78
2,A,1656.91
3,A,1661.7
4,A,1601.34
5,A,1616.37
6,A,1609.97
7,A,1685.12
8,A,1624.26
9,A,1586.67
10,A,1592.13
1,B,1879.23
2,B,1933.06
3,B,1938.64
4,B,1868.23
5,B,1885.76
6,B,1878.29
7,B,1965.97
8,B,1894.96
9,B,1851.11
10,B,1857.48
1,C,2147.69
2,C,2209.2
3,C,2215.59
4,C,2135.11
5,C,2155.15
6,C,2146.62
7,C,2246.82
8,C,2165.67
9,C,2115.55
10,C,2122.83
1,D,2416.16
2,D,2485.36
3,D,2492.54
4,D,2402.01
5,D,2424.55
6,D,2414.95
7,D,2527.68
8,D,2436.38
9,D,2380.0
10,D,2388.19
1,E,2953.09
2,E,3037.66
3,E,3046.44
4,E,2935.79
5,E,2963.34
6,E,2951.61
7,E,3089.39
8,E,2977.8
9,E,2908.89
10,E,2918.9
1,F,3490.0
2,F,3589.96
3,F,3600.33
4,F,3469.56
5,F,3502.12
6,F,3488.25
7,F,3651.09
8,F,3519.21
9,F,3437.77
10,F,3449.6
1,G,4026.94
2,G,4142.27
3,G,4154.24
4,G,4003.35
5,G,4040.92
6,G,4024.92
7,G,4212.8
8,G,4060.64
9,G,3966.67
10,G,3980.32
1,H,4832.32
2,H,4970.72
3,H,4985.08
4,H,4804.02
5,H,4849.1
6,H,4829.9
7,H,5055.36
8,H,4872.76
9,H,4760.0
10,H,4776.38
